id,surahs,ayahs,ayahs-translation,clean_translation,theme,emotion,sentiment
399,3,106,"On the Day when some faces will be (lit up with) white, and some faces will be (in the gloom of) black: To those whose faces will be black, (will be said): ""Did ye reject Faith after accepting it? Taste then the penalty for rejecting Faith.""",on the day when some faces will be lit up with white and some faces will be in the gloom of black to those whose faces will be black will be said did ye reject faith after accepting it taste then the penalty for rejecting faith,Afterlife and Judgment,"Humiliation, Suffering, Distress",Negative
400,3,107,"But those whose faces will be (lit with) white,- they will be in (the light of) AllahLs mercy: therein to dwell (for ever).",but those whose faces will be lit with white they will be in the light of allahls mercy therein to dwell for ever,"Tawhid (Oneness of God), Moral and Righteous Living, Prophets and Revelation, Justice and Social Fairness, Good vs Evil (Accountability), Worship and Obedience, Afterlife and Judgment","Grace, Hope, Awe, Trust, Contentment, Courage, Gratitude, Ecstacy, Wonder, Empaty, Happiness, Joy, Love",Positive
401,3,108,These are the Signs of Allah: We rehearse them to thee in Truth: And Allah means no injustice to any of His creatures.,these are the signs of allah we rehearse them to thee in truth and allah means no injustice to any of his creatures,"Moral and Righteous Living, Creation and Signs, Justice and Social Fairness, Worship and Obedience, Tawhid (Oneness of God), Prophets and Revelation","Grace, Trust, Empaty",Positive
402,3,109,To Allah belongs all that is in the heavens and on earth: To Him do all questions go back (for decision).,to allah belongs all that is in the heavens and on earth to him do all questions go back for decision,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living, Creation and Signs, Afterlife and Judgment","Trust, Awe",Positive
403,3,110,"Ye are the best of peoples, evolved for mankind, enjoining what is right, forbidding what is wrong, and believing in Allah. If only the People of the Book had faith, it were best for them: among them are some who have faith, but most of them are perverted transgressors.",ye are the best of peoples evolved for mankind enjoining what is right forbidding what is wrong and believing in allah if only the people of the book had faith it were best for them among them are some who have faith but most of them are perverted transgressors,"Moral and Righteous Living, Justice and Social Fairness, Worship and Obedience, Good vs Evil (Accountability)","Courage, Awe, Empaty, Grace, Gratitude, Trust, Ecstacy, Joy, Wonder",Positive
404,3,111,"They will do you no harm, barring a trifling annoyance; if they come out to fight you, they will show you their backs, and no help shall they get.",they will do you no harm barring a trifling annoyance if they come out to fight you they will show you their backs and no help shall they get,Moral and Righteous Living,"Courage, Trust, Hostility, Contempt, Wonder, Ecstacy, Fear, Grace, Distress, Remorse, Awe, Empaty",Negative
405,3,112,"Shame is pitched over them (Like a tent) wherever they are found, except when under a covenant (of protection) from Allah and from men; they draw on themselves wrath from Allah, and pitched over them is (the tent of) destitution. This because they rejected the Signs of Allah, and slew the prophets in defiance of right; this because they rebelled and transgressed beyond bounds.",shame is pitched over them like a tent wherever they are found except when under a covenant of protection from allah and from men they draw on themselves wrath from allah and pitched over them is the tent of destitution this because they rejected the signs of allah and slew the prophets in defiance of right this because they rebelled and transgressed beyond bounds,"Prophets and Revelation, Good vs Evil (Accountability)","Shame, Humiliation, Suffering, Distress, Contempt, Despair, Hostility, Anguish, Remorse",Negative
406,3,113,"Not all of them are alike: Of the People of the Book are a portion that stand (For the right): They rehearse the Signs of Allah all night long, and they prostrate themselves in adoration.",not all of them are alike of the people of the book are a portion that stand for the right they rehearse the signs of allah all night long and they prostrate themselves in adoration,"Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God)","Affection, Awe",Negative
407,3,114,"They believe in Allah and the Last Day; they enjoin what is right, and forbid what is wrong; and they hasten (in emulation) in (all) good works: They are in the ranks of the righteous.",they believe in allah and the last day they enjoin what is right and forbid what is wrong and they hasten in emulation in all good works they are in the ranks of the righteous,"Moral and Righteous Living, Worship and Obedience, Afterlife and Judgment, Tawhid (Oneness of God), Justice and Social Fairness","Awe, Trust, Courage",Positive
408,3,115,"Of the good that they do, nothing will be rejected of them; for Allah knoweth well those that do right.",of the good that they do nothing will be rejected of them for allah knoweth well those that do right,"Moral and Righteous Living, Justice and Social Fairness, Worship and Obedience, Good vs Evil (Accountability), Tawhid (Oneness of God), Creation and Signs","Trust, Awe, Courage, Gratitude, Joy, Contentment, Empaty, Ecstacy, Grace, Hope, Wonder, Affection, Contempt, Distress",Positive
409,3,116,"Those who reject Faith,- neither their possessions nor their (numerous) progeny will avail them aught against Allah: They will be companions of the Fire,-dwelling therein (for ever).",those who reject faith neither their possessions nor their numerous progeny will avail them aught against allah they will be companions of the firedwelling therein for ever,Tawhid (Oneness of God),"Contempt, Happiness, Awe, Hostility, Grace",Negative
410,3,117,"What they spend in the life of this (material) world May be likened to a wind which brings a nipping frost: It strikes and destroys the harvest of men who have wronged their own souls: it is not Allah that hath wronged them, but they wrong themselves.",what they spend in the life of this material world may be likened to a wind which brings a nipping frost it strikes and destroys the harvest of men who have wronged their own souls it is not allah that hath wronged them but they wrong themselves,,"Suffering, Distress, Contempt, Regret, Hostility, Anguish, Despair, Frustration, Shame, Remorse, Humiliation, Disappointment, Envy",Negative
411,3,118,"O ye who believe! Take not into your intimacy those outside your ranks: They will not fail to corrupt you. They only desire your ruin: Rank hatred has already appeared from their mouths: What their hearts conceal is far worse. We have made plain to you the Signs, if ye have wisdom.",o ye who believe take not into your intimacy those outside your ranks they will not fail to corrupt you they only desire your ruin rank hatred has already appeared from their mouths what their hearts conceal is far worse we have made plain to you the signs if ye have wisdom,"Prophets and Revelation, Creation and Signs, Moral and Righteous Living, Good vs Evil (Accountability), Tawhid (Oneness of God)","Hatred, Hostility, Contempt, Anguish, Desire, Distress, Envy, Anger, Disappointment, Fear, Suffering, Despair, Humiliation, Rage, Regret, Shame, Remorse, Anxiousness, Frustration, Empaty",Negative
412,3,119,"Ah! ye are those who love them, but they love you not,- though ye believe in the whole of the Book. When they meet you, they say, ""We believe"": But when they are alone, they bite off the very tips of their fingers at you in their rage. Say: ""Perish in you rage; Allah knoweth well all the secrets of the heart.""",ah ye are those who love them but they love you not though ye believe in the whole of the book when they meet you they say we believe but when they are alone they bite off the very tips of their fingers at you in their rage say perish in you rage allah knoweth well all the secrets of the heart,"Worship and Obedience, Moral and Righteous Living, Prophets and Revelation, Good vs Evil (Accountability)","Rage, Anger, Hostility, Contempt, Disappointment, Anguish, Suffering, Distress, Hatred, Fear, Empaty, Envy, Love, Humiliation, Despair, Desire, Frustration, Trust, Affection, Ecstacy, Awe, Remorse, Regret, Pride, Grief, Wonder, Shame",Negative
413,3,120,"If aught that is good befalls you, it grieves them; but if some misfortune overtakes you, they rejoice at it. But if ye are constant and do right, not the least harm will their cunning do to you; for Allah Compasseth round about all that they do.",if aught that is good befalls you it grieves them but if some misfortune overtakes you they rejoice at it but if ye are constant and do right not the least harm will their cunning do to you for allah compasseth round about all that they do,"Moral and Righteous Living, Good vs Evil (Accountability), Worship and Obedience, Justice and Social Fairness, Tawhid (Oneness of God), Creation and Signs","Grief, Empaty, Distress, Regret, Courage, Remorse, Anguish, Trust, Suffering, Contempt, Frustration, Ecstacy, Envy, Hostility, Joy, Grace, Awe, Disappointment, Humiliation",Negative
414,3,121,Remember that morning Thou didst leave Thy household (early) to post the faithful at their stations for battle: And Allah heareth and knoweth all things:,remember that morning thou didst leave thy household early to post the faithful at their stations for battle and allah heareth and knoweth all things,"Tawhid (Oneness of God), Moral and Righteous Living","Regret, Courage, Trust, Awe, Remorse, Ecstacy, Distress, Wonder, Empaty, Anxiousness, Pride",Positive
415,3,122,"Remember two of your parties Meditated cowardice; but Allah was their protector, and in Allah should the faithful (Ever) put their trust.",remember two of your parties meditated cowardice but allah was their protector and in allah should the faithful ever put their trust,"Tawhid (Oneness of God), Worship and Obedience","Trust, Fear, Hostility, Contempt, Remorse, Grace, Distress, Shame",Negative
416,3,123,"Allah had helped you at Badr, when ye were a contemptible little force; then fear Allah; thus May ye show your gratitude.",allah had helped you at badr when ye were a contemptible little force then fear allah thus may ye show your gratitude,"Worship and Obedience, Tawhid (Oneness of God), Good vs Evil (Accountability), Moral and Righteous Living","Gratitude, Fear, Grace, Affection, Awe, Regret, Empaty, Trust, Contempt, Remorse, Courage, Distress, Humiliation, Anxiousness",Positive
417,3,124,"Remember thou saidst to the Faithful: ""Is it not enough for you that Allah should help you with three thousand angels (Specially) sent down?",remember thou saidst to the faithful is it not enough for you that allah should help you with three thousand angels specially sent down,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God)","Trust, Grace, Courage, Ecstacy, Awe, Hope, Empaty",Positive
418,3,125,"""Yea, - if ye remain firm, and act aright, even if the enemy should rush here on you in hot haste, your Lord would help you with five thousand angels Making a terrific onslaught.",yea  if ye remain firm and act aright even if the enemy should rush here on you in hot haste your lord would help you with five thousand angels making a terrific onslaught,"Moral and Righteous Living, Worship and Obedience, Good vs Evil (Accountability), Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs","Courage, Grace, Hope, Trust, Awe, Wonder, Ecstacy, Empaty, Distress, Gratitude, Pride",Positive
419,3,126,"Allah made it but a message of hope for you, and an assurance to your hearts: (in any case) there is no help except from Allah. The Exalted, the Wise:",allah made it but a message of hope for you and an assurance to your hearts in any case there is no help except from allah the exalted the wise,"Tawhid (Oneness of God), Moral and Righteous Living, Prophets and Revelation","Hope, Grace, Empaty, Awe, Trust, Affection, Ecstacy, Joy, Wonder, Courage, Contentment",Positive
420,3,127,"That He might cut off a fringe of the Unbelievers or expose them to infamy, and they should then be turned back, frustrated of their purpose.",that he might cut off a fringe of the unbelievers or expose them to infamy and they should then be turned back frustrated of their purpose,Good vs Evil (Accountability),"Frustration, Distress, Humiliation, Anxiousness, Anguish, Fear, Shame",Negative
421,3,128,"Not for thee, (but for Allah), is the decision: Whether He turn in mercy to them, or punish them; for they are indeed wrong-doers.",not for thee but for allah is the decision whether he turn in mercy to them or punish them for they are indeed wrongdoers,"Tawhid (Oneness of God), Good vs Evil (Accountability)","Awe, Contempt, Distress",Negative
422,3,129,"To Allah belongeth all that is in the heavens and on earth. He forgiveth whom He pleaseth and punisheth whom He pleaseth; but Allah is Oft-Forgiving, Most Merciful.",to allah belongeth all that is in the heavens and on earth he forgiveth whom he pleaseth and punisheth whom he pleaseth but allah is oftforgiving most merciful,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience, Creation and Signs, Justice and Social Fairness, Prophets and Revelation","Grace, Trust, Love, Empaty, Affection, Courage, Wonder, Awe, Gratitude, Joy, Contentment, Ecstacy, Remorse, Hope, Desire, Distress, Humiliation, Pleasure, Regret",Positive
423,3,130,"O ye who believe! Devour not usury, doubled and multiplied; but fear Allah; that ye may (really) prosper.",o ye who believe devour not usury doubled and multiplied but fear allah that ye may really prosper,"Moral and Righteous Living, Good vs Evil (Accountability), Tawhid (Oneness of God), Justice and Social Fairness","Fear, Anxiousness, Courage, Contempt, Remorse, Trust, Hope, Hostility",Negative
424,3,131,"Fear the Fire, which is repaired for those who reject Faith:",fear the fire which is repaired for those who reject faith,Prophets and Revelation,"Fear, Contempt, Anguish, Hostility, Anxiousness, Distress, Despair",Negative
425,3,132,And obey Allah and the Messenger; that ye may obtain mercy.,and obey allah and the messenger that ye may obtain mercy,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Good vs Evil (Accountability)","Grace, Trust, Awe, Remorse",Positive
426,3,133,"Be quick in the race for forgiveness from your Lord, and for a Garden whose width is that (of the whole) of the heavens and of the earth, prepared for the righteous,-",be quick in the race for forgiveness from your lord and for a garden whose width is that of the whole of the heavens and of the earth prepared for the righteous,"Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Good vs Evil (Accountability), Tawhid (Oneness of God), Creation and Signs","Grace, Remorse, Trust, Regret, Empaty, Courage, Ecstacy, Hope, Wonder, Contempt, Awe, Love, Affection",Positive
427,3,134,"Those who spend (freely), whether in prosperity, or in adversity; who restrain anger, and pardon (all) men;- for Allah loves those who do good;-",those who spend freely whether in prosperity or in adversity who restrain anger and pardon all men for allah loves those who do good,"Moral and Righteous Living, Justice and Social Fairness, Tawhid (Oneness of God), Worship and Obedience","Grace, Awe, Affection, Love, Ecstacy, Happiness, Joy, Trust, Courage, Empaty, Contentment, Hope, Gratitude, Wonder",Positive
428,3,135,"And those who, having done something to be ashamed of, or wronged their own souls, earnestly bring Allah to mind, and ask for forgiveness for their sins,- and who can forgive sins except Allah?- and are never obstinate in persisting knowingly in (the wrong) they have done.",and those who having done something to be ashamed of or wronged their own souls earnestly bring allah to mind and ask for forgiveness for their sins and who can forgive sins except allah and are never obstinate in persisting knowingly in the wrong they have done,Moral and Righteous Living,"Shame, Regret, Remorse, Courage, Humiliation, Distress, Awe, Suffering, Empaty, Grace, Contempt",Positive
429,3,136,"For such the reward is forgiveness from their Lord, and Gardens with rivers flowing underneath,- an eternal dwelling: How excellent a recompense for those who work (and strive)!",for such the reward is forgiveness from their lord and gardens with rivers flowing underneath an eternal dwelling how excellent a recompense for those who work and strive,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness","Grace, Awe, Wonder, Ecstacy, Remorse, Joy, Empaty, Trust, Courage, Gratitude",Positive
430,3,137,"Many were the Ways of Life that have passed away before you: travel through the earth, and see what was the end of those who rejected Truth.",many were the ways of life that have passed away before you travel through the earth and see what was the end of those who rejected truth,"Afterlife and Judgment, Prophets and Revelation","Contempt, Hostility",Negative
431,3,138,"Here is a plain statement to men, a guidance and instruction to those who fear Allah!",here is a plain statement to men a guidance and instruction to those who fear allah,"Moral and Righteous Living, Tawhid (Oneness of God)",Fear,Positive
432,3,139,"So lose not heart, nor fall into despair: For ye must gain mastery if ye are true in Faith.",so lose not heart nor fall into despair for ye must gain mastery if ye are true in faith,"Moral and Righteous Living, Tawhid (Oneness of God), Worship and Obedience, Creation and Signs, Justice and Social Fairness, Prophets and Revelation","Trust, Distress, Despair, Grace, Empaty, Suffering, Courage, Grief, Disappointment, Frustration, Hope, Ecstacy, Remorse, Contempt, Anguish, Regret, Fear",Negative
433,3,140,"If a wound hath touched you, be sure a similar wound hath touched the others. Such days (of varying fortunes) We give to men and men by turns: that Allah may know those that believe, and that He may take to Himself from your ranks Martyr-witnesses (to Truth). And Allah loveth not those that do wrong.",if a wound hath touched you be sure a similar wound hath touched the others such days of varying fortunes we give to men and men by turns that allah may know those that believe and that he may take to himself from your ranks martyrwitnesses to truth and allah loveth not those that do wrong,"Moral and Righteous Living, Good vs Evil (Accountability), Justice and Social Fairness","Empaty, Suffering, Distress, Courage",Negative
434,3,141,AllahLs object also is to purge those that are true in Faith and to deprive of blessing Those that resist Faith.,allahls object also is to purge those that are true in faith and to deprive of blessing those that resist faith,Good vs Evil (Accountability),"Hostility, Distress, Contempt",Negative
435,3,142,Did ye think that ye would enter Heaven without Allah testing those of you who fought hard (In His Cause) and remained steadfast?,did ye think that ye would enter heaven without allah testing those of you who fought hard in his cause and remained steadfast,"Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness, Afterlife and Judgment, Good vs Evil (Accountability)","Courage, Awe, Anxiousness, Trust, Anguish, Frustration",Negative
436,3,143,"Ye did indeed wish for death before ye met him: Now ye have seen him with your own eyes, (And ye flinch!)",ye did indeed wish for death before ye met him now ye have seen him with your own eyes and ye flinch,"Good vs Evil (Accountability), Prophets and Revelation","Regret, Hostility, Shame, Disappointment, Remorse, Contempt, Fear, Hatred, Distress, Frustration, Despair, Humiliation, Anguish, Anger, Suffering, Rage, Anxiousness, Envy",Negative
437,3,144,"Muhammad is no more than a messenger: many Were the messenger that passed away before him. If he died or were slain, will ye then Turn back on your heels? If any did turn back on his heels, not the least harm will he do to Allah; but Allah (on the other hand) will swiftly reward those who (serve Him) with gratitude.",muhammad is no more than a messenger many were the messenger that passed away before him if he died or were slain will ye then turn back on your heels if any did turn back on his heels not the least harm will he do to allah but allah on the other hand will swiftly reward those who serve him with gratitude,"Worship and Obedience, Good vs Evil (Accountability), Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness","Gratitude, Affection, Trust, Courage, Grace, Hostility, Contempt, Awe, Distress, Empaty, Love, Regret, Wonder, Remorse",Negative
438,3,145,"Nor can a soul die except by AllahLs leave, the term being fixed as by writing. If any do desire a reward in this life, We shall give it to him; and if any do desire a reward in the Hereafter, We shall give it to him. And swiftly shall We reward those that (serve us with) gratitude.",nor can a soul die except by allahls leave the term being fixed as by writing if any do desire a reward in this life we shall give it to him and if any do desire a reward in the hereafter we shall give it to him and swiftly shall we reward those that serve us with gratitude,"Afterlife and Judgment, Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God)","Gratitude, Desire, Trust, Affection, Grace",Negative
439,3,146,"How many of the prophets fought (in AllahLs way), and with them (fought) Large bands of godly men? but they never lost heart if they met with disaster in AllahLs way, nor did they weaken (in will) nor give in. And Allah Loves those who are firm and steadfast.",how many of the prophets fought in allahls way and with them fought large bands of godly men but they never lost heart if they met with disaster in allahls way nor did they weaken in will nor give in and allah loves those who are firm and steadfast,"Moral and Righteous Living, Prophets and Revelation, Worship and Obedience, Tawhid (Oneness of God)","Love, Courage, Distress, Wonder, Awe, Affection, Hope, Trust, Grace",Positive
440,3,147,"All that they said was: ""Our Lord! Forgive us our sins and anything We may have done that transgressed our duty: Establish our feet firmly, and help us against those that resist Faith.""",all that they said was our lord forgive us our sins and anything we may have done that transgressed our duty establish our feet firmly and help us against those that resist faith,"Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living, Good vs Evil (Accountability), Prophets and Revelation","Grace, Remorse, Trust, Regret, Empaty, Ecstacy, Love, Courage, Distress",Positive
441,3,148,"And Allah gave them a reward in this world, and the excellent reward of the Hereafter. For Allah Loveth those who do good.",and allah gave them a reward in this world and the excellent reward of the hereafter for allah loveth those who do good,"Moral and Righteous Living, Afterlife and Judgment, Justice and Social Fairness, Tawhid (Oneness of God), Worship and Obedience","Love, Affection, Trust, Gratitude, Awe, Grace, Ecstacy, Courage, Joy, Hope, Empaty, Happiness, Contentment",Positive
442,3,149,"O ye who believe! If ye obey the Unbelievers, they will drive you back on your heels, and ye will turn back (from Faith) to your own loss.",o ye who believe if ye obey the unbelievers they will drive you back on your heels and ye will turn back from faith to your own loss,"Good vs Evil (Accountability), Creation and Signs","Grief, Suffering, Hostility, Distress, Disappointment, Contempt, Fear, Frustration, Regret, Shame, Despair, Humiliation, Anguish, Remorse, Rage, Anxiousness, Hatred",Negative
443,3,150,"Nay, Allah is your protector, and He is the best of helpers.",nay allah is your protector and he is the best of helpers,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living","Trust, Affection, Gratitude",Negative
444,3,151,"Soon shall We cast terror into the hearts of the Unbelievers, for that they joined companions with Allah, for which He had sent no authority: their abode will be the Fire: And evil is the home of the wrong-doers!",soon shall we cast terror into the hearts of the unbelievers for that they joined companions with allah for which he had sent no authority their abode will be the fire and evil is the home of the wrongdoers,"Good vs Evil (Accountability), Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Creation and Signs","Fear, Courage, Anxiousness, Distress, Awe, Rage",Positive
445,3,152,"Allah did indeed fulfil His promise to you when ye with His permission Were about to annihilate your enemy,-until ye flinched and fell to disputing about the order, and disobeyed it after He brought you in sight (of the booty) which ye covet. Among you are some that hanker after this world and some that desire the Hereafter. Then did He divert you from your foes in order to test you but He forgave you: For Allah is full of grace to those who believe.",allah did indeed fulfil his promise to you when ye with his permission were about to annihilate your enemyuntil ye flinched and fell to disputing about the order and disobeyed it after he brought you in sight of the booty which ye covet among you are some that hanker after this world and some that desire the hereafter then did he divert you from your foes in order to test you but he forgave you for allah is full of grace to those who believe,"Good vs Evil (Accountability), Afterlife and Judgment","Grace, Desire, Envy, Distress, Hostility, Remorse, Trust, Contempt, Regret, Frustration, Disappointment, Awe, Suffering, Gratitude, Empaty, Pride, Ecstacy, Anxiousness, Fear",Positive
446,3,153,"Behold! ye were climbing up the high ground, without even casting a side glance at any one, and the Messenger in your rear was calling you back. There did Allah give you one distress after another by way of requital, to teach you not to grieve for (the booty) that had escaped you and for (the ill) that had befallen you. For Allah is well aware of all that ye do.",behold ye were climbing up the high ground without even casting a side glance at any one and the messenger in your rear was calling you back there did allah give you one distress after another by way of requital to teach you not to grieve for the booty that had escaped you and for the ill that had befallen you for allah is well aware of all that ye do,"Good vs Evil (Accountability), Prophets and Revelation","Distress, Anguish, Grief, Suffering, Disappointment, Frustration, Humiliation, Regret, Shame, Despair, Contempt, Anxiousness, Hostility, Fear, Empaty, Courage, Remorse, Anger, Rage",Negative
447,3,154,"After (the excitement) of the distress, He sent down calm on a band of you overcome with slumber, while another band was stirred to anxiety by their own feelings, Moved by wrong suspicions of Allah-suspicions due to ignorance. They said: ""What affair is this of ours?"" Say thou: ""Indeed, this affair is wholly AllahLs.""They hide in their minds what they dare not reveal to thee. They say (to themselves): ""If we had had anything to do with this affair, We should not have been in the slaughter here."" Say: ""Even if you had remained in your homes, those for whom death was decreed would certainly have gone forth to the place of their death""; but (all this was) that Allah might test what is in your breasts and purge what is in your hearts. For Allah knoweth well the secrets of your hearts.e",after the excitement of the distress he sent down calm on a band of you overcome with slumber while another band was stirred to anxiety by their own feelings moved by wrong suspicions of allahsuspicions due to ignorance they said what affair is this of ours say thou indeed this affair is wholly allahlsthey hide in their minds what they dare not reveal to thee they say to themselves if we had had anything to do with this affair we should not have been in the slaughter here say even if you had remained in your homes those for whom death was decreed would certainly have gone forth to the place of their death but all this was that allah might test what is in your breasts and purge what is in your hearts for allah knoweth well the secrets of your heartse,"Prophets and Revelation, Tawhid (Oneness of God), Creation and Signs, Moral and Righteous Living","Distress, Anxiousness, Fear, Regret, Courage, Empaty, Ecstacy, Remorse, Grace, Contempt, Wonder, Frustration, Awe, Anguish, Trust, Grief, Hostility, Suffering",Negative
448,3,155,"Those of you who turned back on the day the two hosts Met,-it was Satan who caused them to fail, because of some (evil) they had done. But Allah Has blotted out (their fault): For Allah is Oft-Forgiving, Most Forbearing.",those of you who turned back on the day the two hosts metit was satan who caused them to fail because of some evil they had done but allah has blotted out their fault for allah is oftforgiving most forbearing,"Good vs Evil (Accountability), Tawhid (Oneness of God), Moral and Righteous Living","Grace, Trust, Regret, Remorse, Awe, Distress, Hostility, Wonder, Empaty, Contempt, Courage",Negative
449,3,156,"O ye who believe! Be not like the Unbelievers, who say of their brethren, when they are travelling through the Earth or engaged in fighting: ""If they had stayed with us, they would not have died, or been slain."" This that Allah may make it a cause of sighs and regrets in their hearts. It is Allah that gives Life and Death, and Allah sees well all that ye do.",o ye who believe be not like the unbelievers who say of their brethren when they are travelling through the earth or engaged in fighting if they had stayed with us they would not have died or been slain this that allah may make it a cause of sighs and regrets in their hearts it is allah that gives life and death and allah sees well all that ye do,"Good vs Evil (Accountability), Moral and Righteous Living","Remorse, Regret, Frustration, Distress, Hostility, Suffering, Anguish, Contempt, Fear, Shame, Disappointment, Grief, Trust, Empaty, Anxiousness",Negative
450,3,157,"And if ye are slain, or die, in the way of Allah, forgiveness and mercy from Allah are far better than all they could amass.",and if ye are slain or die in the way of allah forgiveness and mercy from allah are far better than all they could amass,Tawhid (Oneness of God),"Grace, Awe, Trust, Empaty, Love, Suffering",Positive
451,3,158,"And if ye die, or are slain, Lo! it is unto Allah that ye are brought together.",and if ye die or are slain lo it is unto allah that ye are brought together,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living, Good vs Evil (Accountability), Afterlife and Judgment, Prophets and Revelation","Grace, Trust, Awe",Positive
452,3,159,"It is part of the Mercy of Allah that thou dost deal gently with them Wert thou severe or harsh-hearted, they would have broken away from about thee: so pass over (Their faults), and ask for (AllahLs) forgiveness for them; and consult them in affairs (of moment). Then, when thou hast Taken a decision put thy trust in Allah. For Allah loves those who put their trust (in Him).",it is part of the mercy of allah that thou dost deal gently with them wert thou severe or harshhearted they would have broken away from about thee so pass over their faults and ask for allahls forgiveness for them and consult them in affairs of moment then when thou hast taken a decision put thy trust in allah for allah loves those who put their trust in him,"Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Tawhid (Oneness of God)","Grace, Trust, Love, Empaty, Affection, Remorse, Courage, Distress, Awe, Wonder, Ecstacy, Contentment",Neutral
453,3,160,"If Allah helps you, none can overcome you: If He forsakes you, who is there, after that, that can help you? in Allah, then, Let believers put their trust.",if allah helps you none can overcome you if he forsakes you who is there after that that can help you in allah then let believers put their trust,"Afterlife and Judgment, Tawhid (Oneness of God), Moral and Righteous Living",Trust,Positive
454,3,161,"No prophet could (ever) be false to his trust. If any person is so false, He shall, on the Day of Judgment, restore what he misappropriated; then shall every soul receive its due,- whatever it earned,- and none shall be dealt with unjustly.",no prophet could ever be false to his trust if any person is so false he shall on the day of judgment restore what he misappropriated then shall every soul receive its due whatever it earned and none shall be dealt with unjustly,"Justice and Social Fairness, Prophets and Revelation, Afterlife and Judgment, Moral and Righteous Living, Tawhid (Oneness of God), Good vs Evil (Accountability)","Trust, Grace, Courage",Negative
455,3,162,"Is the man who follows the good pleasure of Allah Like the man who draws on himself the wrath of Allah, and whose abode is in Hell?- A woeful refuge!",is the man who follows the good pleasure of allah like the man who draws on himself the wrath of allah and whose abode is in hell a woeful refuge,"Good vs Evil (Accountability), Worship and Obedience, Moral and Righteous Living","Anguish, Suffering, Pleasure, Despair, Hostility",Negative
456,3,163,"They are in varying gardens in the sight of Allah, and Allah sees well all that they do.",they are in varying gardens in the sight of allah and allah sees well all that they do,"Tawhid (Oneness of God), Moral and Righteous Living, Worship and Obedience","Awe, Trust, Courage, Wonder, Ecstacy, Gratitude, Joy, Affection, Pleasure",Positive
457,3,164,"Allah did confer a great favour on the believers when He sent among them a messenger from among themselves, rehearsing unto them the Signs of Allah, sanctifying them, and instructing them in Scripture and Wisdom, while, before that, they had been in manifest error.",allah did confer a great favour on the believers when he sent among them a messenger from among themselves rehearsing unto them the signs of allah sanctifying them and instructing them in scripture and wisdom while before that they had been in manifest error,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Creation and Signs, Prophets and Revelation","Grace, Trust, Gratitude, Awe, Wonder, Courage, Joy, Affection, Hope, Ecstacy",Positive
458,3,165,"What! When a single disaster smites you, although ye smote (your enemies) with one twice as great, do ye say?- ""Whence is this?"" Say (to them): ""It is from yourselves: For Allah hath power over all things.""",what when a single disaster smites you although ye smote your enemies with one twice as great do ye say whence is this say to them it is from yourselves for allah hath power over all things,"Tawhid (Oneness of God), Good vs Evil (Accountability), Moral and Righteous Living","Distress, Anguish, Suffering, Contempt, Courage, Disappointment, Regret, Grace",Negative
459,3,166,"What ye suffered on the day the two armies Met, was with the leave of Allah, in order that He might test the believers,-",what ye suffered on the day the two armies met was with the leave of allah in order that he might test the believers,Good vs Evil (Accountability),"Suffering, Distress, Anguish, Humiliation, Hostility, Contempt, Remorse, Awe",Negative
460,3,167,"And the Hypocrites also. These were told: ""Come, fight in the way of Allah, or (at least) drive (The foe from your city)."" They said: ""Had we known how to fight, we should certainly have followed you."" They were that day nearer to Unbelief than to Faith, saying with their lips what was not in their hearts but Allah hath full knowledge of all they conceal.",and the hypocrites also these were told come fight in the way of allah or at least drive the foe from your city they said had we known how to fight we should certainly have followed you they were that day nearer to unbelief than to faith saying with their lips what was not in their hearts but allah hath full knowledge of all they conceal,Good vs Evil (Accountability),"Shame, Regret, Contempt, Hostility, Disappointment, Frustration, Distress, Humiliation, Anguish, Despair, Rage, Envy, Remorse, Desire, Hatred, Fear",Negative
